"Plot Title: ELVI"
"#","Date Time, GMT-06:00","Water Content, m³/m³ (LBL: 1)","Water Content, m³/m³ (LBL: 2)","Water Content, m³/m³ (LBL: 3)","Water Content, m³/m³ (LBL: 4)"
340,01/29/15 09:00:01 AM,0.2211,0.2225,0.2218,0.2262
341,01/29/15 03:00:01 PM,0.2247,0.2284,0.2116,0.2269
342,01/29/15 09:00:01 PM,0.2167,0.2189,0.2000,0.2196
343,01/30/15 03:00:01 AM,0.2146,0.2167,0.1957,0.2182
344,01/30/15 09:00:01 AM,0.2160,0.2182,0.2167,0.2233
345,01/30/15 03:00:01 PM,0.2182,0.2233,0.2102,0.2240
346,01/30/15 09:00:01 PM,0.2116,0.2153,0.1993,0.2182
347,01/31/15 03:00:01 AM,0.2109,0.2138,0.1957,0.2175
348,01/31/15 09:00:01 AM,0.2138,0.2160,0.2211,0.2233
349,01/31/15 03:00:01 PM,0.2138,0.2175,0.2102,0.2218
350,01/31/15 09:00:01 PM,0.2116,0.2153,0.2029,0.2189
351,02/01/15 03:00:01 AM,0.2131,0.2160,0.2022,0.2196
352,02/01/15 09:00:01 AM,0.2153,0.2182,0.2225,0.2254
353,02/01/15 03:00:01 PM,0.2167,0.2196,0.2109,0.2240
354,02/01/15 09:00:01 PM,0.2109,0.2138,0.2000,0.2189
355,02/02/15 03:00:01 AM,0.2066,0.2109,0.1949,0.2167
356,02/02/15 09:00:01 AM,0.2087,0.2131,0.1964,0.2204
357,02/02/15 03:00:01 PM,0.2116,0.2160,0.1971,0.2196
358,02/02/15 09:00:01 PM,0.2029,0.2087,0.1884,0.2146
359,02/03/15 03:00:01 AM,0.2029,0.2087,0.1884,0.2146
360,02/03/15 09:00:01 AM,0.2058,0.2102,0.2131,0.2211
